Common Name,,Scientific Name,,Order,Size,Date of discovery,(common) body of water,,,Depth in water,Fatal
Melon comb jelly,,Beroe cucumis,,zip-lock,up to 15cm (6in) in length,1780,"North Atlanic Ocean, North sea, Skagerrak and Kattegat",,,0-880m,No
Stalked trumpet jelly,,Depastromorpha africana,,stemmed,1 to 2cm in length,1935,South African coast (Cape Peninsula to Hermanus) ,,,Unknown,No
Kaleidoscope jellyfish,,Haliclystus auricula,,stemmed,2-2.5 in length,1863,West coast of Britain and Ireland and the Channel Isles,,,up to 200m,No
Stalked jellyfish,,Haliclystus sanjuanensis,,stemmed ,up to 4cm in length,1940,Pacific Ocean along the west coast of North America,,,Demersal (ocean floor),No
Barrel jellyfish,,Rhizostoma pulmo,,fused,60cm - 90cm in diameter ,1778,Mediterranean Sea(Alboran Sea to Libya) & Black Sea(East to Russia and north to Ukraine),,,0-40m,No
Blue blubber jelly,,Catostylus mosaicus,,fused ,35cm in diameter,1824,"coastal  parts of Indo-Pacific and Queensland, New South Wales and Victoria",,,0-200m,No
Upside-down jellyfish,,Cassiopea andromeda,,fused,up to 30cm in diameter,1775,Indo-Pacific and Hawaiian Islands,,,Intertidal zone (shallow waters),No
Spotted jelly,,Mastigias papua,,fused,3-10cm in length & 2-7cm in diameter,1830,Indo-Pacific Ocean between Japan and Australia,,,Shallow waters,No
White-spotted jellyfish,,Phyllorhiza punctata,,fused,Up to 50cm (20in) in diameter,1884,"Australia, Hawaiian Islands, Caribbean, Gulf of Mexico.",,,0-20m,No
Upside-down jellyfish,,Cassiopea xamachana,,fused,Up to 25cm (10in),1892,"Western Atlantic Ocean, Caribbean Sea and the Gulf of Mexico",,,0-10m,No
Saucer Jelly,,Aurelia Aurita,,flag mouth,Average of 3in in length & 7-8in in diameter,1758,Coast of North America and Europe,,,"600ft-3,300ft",No
Lion's Mane Jellyfish,,Cyanea capillata,,flag mouth,30-120feet tentacle length & 1in-10ft in diameter,1758,"North & Irish Seas, the English Channel, Kattegat and Oresund",,,0-66ft,No
Egg-yolk jelly,,Phacellophora camtschatica,,flag mouth,50-60cm in diameter & 20ft(6m) in tenticle length,1835,"Gulf of Alaska to Chile, Eastern Pacific, the Atlantic and the Mediterranean",,,50-330m,No
Atlantic sea nettle,,Chrysaora quinquecirrha,,flag mouth,up to 40cm (16 in) in diameter & up to 25cm in length,1848,"Pacific, Atlantic and Indian Oceans (East Coast & Gulf of Mexico)",,,0-85m,No
Purplestriped jelly,,Pelagia noctiluca,,flag mouth,up to 9cm in length and 6.5cm in diameter,1775,"North Atlantic region (4th parallel north to north sea and atlantic Canada, Mediterranean and Gulf of Mexico)",,,0-1600m,No
Pacific sea nettle,,Chrysaora fuscescens,,flag mouth,Up to 30cm(1ft) in diameter,1835,Coastal waters of California and Oregon,,,shallow bays and harbors,No
Australian box jellyfish,,Chironex fleckeri,,branch box,16-24cm in diameter & up to 3m in length,1956,"Indian Ocean, Pacific Ocean and the Great Barrier Reef",,,39-56m,Yes
Cannonball jellyfish,,Stomolophus meleagris,,fused,Up to 25cm (10in) in diameter,1860,Southeastern coast of US including the Gulf Coast,,,Coastal ,No
Mediterranean jelly,,Cotylorhiza tuberculata,,fused ,Up to 40cm in diameter ,1778,"Mediterranean sea: Italy, Greece and Monaco",,,0-7m,No
Four-handed box jellyfish,,Chiropsalmus quadrumanus,,branch box,average of 14cm in diameter & 10cm in length,1859,East cost of North America North Carolina-Mexico and Pacific Ocean (western atlantic & indo-west pacific),,,0-85m,Yes
Diplulmaris antarctica,,Diplulmaris antarctica,,flag mouth,Up to 18cm in diameter & length,1908,Southwest Atlantic and the Antarctic,,,0-500m,No
Blue jellyfish,,Cyanea lamarckii,,flag mouth,Up to 30cm in diameter,1810,"West coast of Scotland, the North Sea, the English Channel, and the Irish Sea",,,Coastal,No
Compass jellyfish,,Chrysaora hysoscella,,flag mouth,3-43cm in diameter,1767,"Northeast Atlantic Ocean (Celtic, Irish, North seas), Mediterranean Sea and coastal regions of South Africa",,,2-30m,No
Sea thimble,,Linuche unguiculata,,crown ,13 to 20mm in length,1788,"Western tropical Atlantic Ocean, West Indian and Bahama regions.",,,0 to 5000m,No
Nomad jellyfish,,Rhopilema nomadica,,fused,40 to 60cm in diameter,1990,"Indian Ocean, Pacific Oceans, Mediterranean Sea and Eastern Mediterranean  (coast of Lebanon, Israel, Turkey and Aegean Sea. ",,,Tropical coastal warm waters,No
Moon Jellyfish,,Aurelia labiata,,flag mouth,100 to 450mm in diameter,1821,"Coastal regions of Pacific Ocean (from San Diego, California, Prince William Sound, to Alaska)",,,0 to 1000m,No
Pink meanie,,Drymonema dalmatinum,,flag mouth,50-100cm in diameter & 75cm in diameter,1880,"Western Atlantic and the Mediterranean: Puerto Rico, Brazil, Canada and USA",,,0 to 20m,No
Jelly blubber,,Catostylus tagi,,fused ,Up to 65cm (26in) in diameter,1869,East Atlantic Ocean and the Mediterranean Sea,,,Pelagic. Tropical,No
Clinging Jellyfish,,Gonionemus vertens,,non-chitinous colonial,1-3cm (.4-1.2cm) in diameters can expand to 3in,1862,Coastal regions throughout the Northern Hemisphere,,,coastal,No
Flame Jellyfish,,Rhopilema esculentum,,fused ,Up to 45cm in diameter,1891,"Western Japan, the Bohai Sea, The Yellow sea, East China Sea and the North Malayan Sea.",,,10-20m,No
Portuguese man-of-war,,Physalia physalis,,complex colonial,9 to 30cm in length & up to 12.7cm (5 in) wide,1758,Gulf Stream of northern Atlantic Ocean and in Tropical & subtropical regions of the Indian and Pacific Oceans.,,,Surface of ocean,Yes
by-the-wind sailor,,Velella velella,,harpoon,up to 10cm in length,1758,"Pelagic water world wide, (commonly in the north american West coast and the British and Irish coasts)",,,Surface of warmer ocean water,No
Blue button,,Porpita porpita,,harpoon,up to 30mm in diameter,1758,"Tropical and sub-tropical water of the Pacfic, Atlantic, Indian oceans also Mediterranean and eastern Arabian seas.",,,Passive drifter on surface of ocean,No
Immortal jellyfish,,Turritopsis dohrnii,,harpoon,up to 4.5mm in diameter and length,1883,Temperate to tropical regions in all of word's ocean,,,marinas and on the ocean floor salinity range of polyhaline (18-30 PSU) and euhaline (30-40 PSU).,No
Irukandji jellyfish,,Carukia barnesi,,unbranched box,"1-2cm in bell diameter, up to 1m tentacles",1967,Offshore water of northern Australia for Western Australia to Queensland,,,5-40m,Yes
Carybdea sivickisi,,Carybdea sivickisi,,unbranched box,1-14mm in bell diameter and an average of 7mm in height,1985,"Western Pacific (from Japan in the north, the Indo-Pacific, to New Zealand in the south)",,,Shallower waters Pelagic (for mating rituals in summer) and deep open marine waters Benthic (for food),No
Mangrove box jelly,,Tripedalia cystophora,,unbranched box,Up to 1 cm (0.4in) in diameter,1897,North Coast of South America in the Atlantic Ocean,,,0-20cm,No
Sea Wasp,,Alatina alata,,unbranched box,up to 5cm in length,1830,"Pacific Ocean, Atlantic Ocean, Indian Ocean and the Arabian Sea along Pakistan beaches.",,,55-2282m,No
The jimble ,,Carybdea rastoni,,unbranched box,15-40mm in bell diameter,1810,"Commonly found in the warm waters of Hawaii, Australia, Japan, and the Philippines",,,"Coastal waters, estuaris and oceans",No
The giant,,Keesingia gigas,,unbranched box,about arm length,2014,North-west coast of Western Australia,,,subtropical,Yes
Malo bella,,Malo bella,,unbranched box,1.9cm in length,2014,Eastern Indian Ocean: Australia,,,Pelagic. Tropical,No
Tomato jellyfish,,Crambione mastigophora Maas,,fused,Up to 40cm wide,1903,Indo-West Pacific: Australia and Marshall Islands,,,Pelagic. Tropical,No
Manania handi,,Manania handi,,stemmed ,Up to 4cm in length and 2cm in diameter,1989,Pacfic Ocean along the west coast of North America,,,up to 200m ,No
Goblet stalked-jellyfish,,Craterolophus convolvulus,,stemmed ,1.5 to 2.5 cm wide & 2.5 to 3cm high,1835,Atlantic Ocean,,,1000m-4000m,No
Lucernaria janetae,,Lucernaria janetae,,stemmed,Umbrella Up to 100mm wide and 50mm deep,2005,East Pacific Rise,,,2500-2700m,No
Pink helmet,,Aglantha digitale,,ringed,10 to 22mm in height and 5 to 11mm in width,1776,"Northern parts of the Atlantic and Pacific Oceans, North sea of Skagerrak, the Arctic Ocean, Dvina Bay, Onega Bay, Hudson Bay, and Hudson Basin and Kandalaksha Bay in the White Sea.",,,25 to 700m,No
Mushroom cap jellyfish,,Rhopilema verrilli,,fused ,35 to 51cm in bell diameter,1887,"coast in the northern Gulf of Mexico, and between North Carolina and New England",,,Unknown,No
Aurelia solida,,Aurelia solida,,flag mouth,Up to 10.5 cm wide,1905,"Atlantic Ocean and Indian Ocean: from Bermuda to Portugal, south to South Africa and east to Australia.",,,"3,000m to 5,000m",No
Blob-top jelly,,Neoturris breviconis,,harpoon,Up to 4.5cm in height,1902,"Arctic, Northern Atlantic and Northern Pacific. Mostly polar, but also in tropical and boreal.",,,0-500m,No
Leuckartiara octona,,Leuckartiara octona,,harpoon,Up to 2cm in height,1823,"Atlantic Ocean, Mediterranean, Sub-Antarctic and temperate waters of the northern hemisphere.",,,0-210m,No
Many-ribbed jellyfish,,Aequorea forskalea,,chitinous colonial,Up to 175mm in diameter,1810,Mid-continental shelf,,,deeper than 150m,No
Pandea conica,,Pandea conica,,harpoon,Up to 1cm in length,1827,"Southwest Atlantic and the Mediterranean: Italy, Brazil and Spain.",,,Demersal.  Tropical,No
Nausithoe aurea,,Nausithoe aurea,,crown,Average of 10.5mm in diameter,1997,Southwest Atlantic: Brazil.,,,1-6m Tropical,No
gold-spotted crown jelly,,Atorella vanhoeffeni,,crown,3-5mm in bell length and 4.5-7mm in bell width,1909,"Atlantic and Pacific Oceans: Canada, Ireland and USA.",,,0-1000m,No
Bumpy Jelly,,Stellamedusa ventana,,flag mouth,Up to 10cm in diameter and 20cm in total length,2004,"Monterey Bay, California and the Gulf of California",,,150-500m,No
Parumbrosa polylobata,,Parumbrosa polylobata,,flag mouth,Up to 16cm wide,1910,Northwest Pacific: Japan,,,Pelagic.  Subtropical,No
Eight-strand jelly,,Melicertum octocostatum,,chitinous colonial,up to 1.4cm wide,1835,"Arctic, Northern Atlantic and Pacific Ocean.",,,0-102m Polar,No
Viper Jellyfish,,Chironex yamaguchii,,branch box,Up to 110mm in bell height and 95mm in bell diameter,2009,"Found in coastal waters around Japan, on Okinawa and the Ryukyu Islands, and in the Philippines.",,,unknown,Yes
Sea nut,,Mertensia ovum,,rounded comb,Up to 10cm (3.9in),1780,Arctic and adjacent polar seas,,,Up to 50m (160ft),No
